chr11	3500000	3510000	chr11	3590000	3600000
chr11	3500000	3510000	chr11	3640000	3650000
chr11	3510000	3515000	chr11	3550000	3555000
chr11	8750000	8760000	chr11	8830000	8840000
chr11	8800000	8805000	chr11	8840000	8845000
chr11	8850000	8855000	chr11	8895000	8900000
chr11	8930000	8935000	chr11	8980000	8985000
chr11	9080000	9085000	chr11	9120000	9125000
chr11	15975000	16000000	chr11	16325000	16350000
chr11	16070000	16080000	chr11	16170000	16180000
chr11	55250000	55260000	chr11	55330000	55340000
chr11	61925000	61950000	chr11	62125000	62150000
chr11	61930000	61940000	chr11	62030000	62040000
chr11	61940000	61950000	chr11	62080000	62090000
chr11	61985000	61990000	chr11	62035000	62040000
chr11	62000000	62025000	chr11	63175000	63200000
chr11	62100000	62105000	chr11	62140000	62145000
chr11	62140000	62150000	chr11	62770000	62780000
chr11	62150000	62160000	chr11	62650000	62660000
chr11	62150000	62175000	chr11	62475000	62500000
chr11	62150000	62175000	chr11	62650000	62675000
chr11	62160000	62170000	chr11	62300000	62310000
chr11	62170000	62180000	chr11	62460000	62470000
chr11	62180000	62190000	chr11	62270000	62280000
chr11	62180000	62190000	chr11	62310000	62320000
chr11	62185000	62190000	chr11	62330000	62335000
chr11	62190000	62195000	chr11	62290000	62295000
chr11	62190000	62200000	chr11	62350000	62360000
chr11	62210000	62220000	chr11	62320000	62330000
chr11	62360000	62370000	chr11	62600000	62610000
chr11	62370000	62380000	chr11	62630000	62640000
chr11	62380000	62385000	chr11	62425000	62430000
chr11	62380000	62390000	chr11	62620000	62630000
chr11	62500000	62505000	chr11	62625000	62630000
chr11	62545000	62550000	chr11	62635000	62640000
chr11	62555000	62560000	chr11	62595000	62600000
chr11	62670000	62680000	chr11	62780000	62790000
chr11	62670000	62680000	chr11	62810000	62820000
chr11	62670000	62680000	chr11	62970000	62980000
chr11	62675000	62680000	chr11	62795000	62800000
chr11	62800000	62810000	chr11	63210000	63220000
chr11	62810000	62820000	chr11	62910000	62920000
chr11	62810000	62820000	chr11	62990000	63000000
chr11	62890000	62900000	chr11	63380000	63390000
chr11	62900000	62905000	chr11	63000000	63005000
chr11	62980000	62985000	chr11	63025000	63030000
chr11	63020000	63030000	chr11	63480000	63490000
chr11	63150000	63160000	chr11	63390000	63400000
chr11	63160000	63165000	chr11	63210000	63215000
chr11	63165000	63170000	chr11	63205000	63210000
